half,trigger_min,message
前半,0,⚽ キックオフ！前半が始まりました！チャットで一緒に観戦しましょう！
前半,2,⚽ キックオフ！前半が始まりました！チャットで一緒に観戦しましょう！
前半,3,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
前半,4,❓プライバシーの許す範囲で個人的な質問もOKです。
前半,5,🗣 推し選手や気になるプレーがあればチャットに書き込んでください！
前半,6,🔮 スコア予想を！チャットに書き込んでください！
前半,7,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,8,👏 今の気持ちをチャットで共有しましょう！
前半,9,❓ 質問はコメント欄でどうぞ。
前半,10,👍 配信が楽しければ「高評価」をお願いします！配信のボルテージを上げましょう！
前半,11,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
前半,12,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（3列表記の例：4-3-3、4-4-2など）
前半,13,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、守備的な中盤、攻撃的な中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（4列表記の例：4-2-3-1、4-3-2-1、3-4-2-1など）
前半,14,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
前半,15,🔮 スコア予想を！チャットに書き込んでください！
前半,16,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
前半,17,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
前半,18,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
前半,19,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
前半,20,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
前半,21,【原理原則】フィールドを縦に5分割して見るのがオススメ
前半,22,💧 まもなくハイドレーションブレイク(飲水と作戦共有)！監督の指示が入るので、試合が動くかも！？
前半,23,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,24,👍 配信が楽しければ「高評価」をお願いします！
前半,25,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,26,👏 今の気持ちをチャットで共有しましょう！
前半,27,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
前半,28,❓ 質問はコメント欄でどうぞ。
前半,29,👏 今の気持ちをチャットで共有しましょう！
前半,30,🔁 前半30分が経過！まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
前半,31,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
前半,32,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
前半,33,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
前半,34,【原理原則】フィールドを縦に5分割して見るのがオススメ
前半,35,🗣 そろそろ前半も終盤。疲労が見え始めるこの時間、一瞬の隙がゴールを生みます！
前半,36,👋 初めてご覧の方、気軽にコメントしてくださいね！
前半,37,👍 配信が楽しければ「高評価」をお願いします！
前半,38,👏 今の気持ちをチャットで共有しましょう！
前半,39,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
前半,40,🔥 得点期待度UP！ 統計的に前半で最もスコアが動く時間帯に突入です！
前半,41,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
前半,42,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
前半,43,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
前半,44,⚡ 魔の時間帯！ 統計上、前半のラスト1分は最もゴールが生まれやすい時間帯。今まさにその瞬間！
前半,45,⏱ アディショナルタイム突入！
後半,45,🔥 後半キックオフ！後半も一緒に盛り上がっていきましょう！
後半,47,🔥 後半キックオフ！後半も一緒に盛り上がっていきましょう！
後半,48,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
後半,49,❓ 質問はコメント欄でどうぞ。
後半,50,🗣 チャットで応援！どんなコメントも大歓迎です！
後半,51,👏 今の気持ちをチャットで共有しましょう！
後半,52,🔮 スコア予想を！チャットに書き込んでください！
後半,53,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
後半,54,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
後半,55,👍 配信が楽しければ「高評価」をお願いします！
後半,56,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（3列表記の例：4-3-3、4-4-2など）
後半,57,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、守備的な中盤、攻撃的な中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（4列表記の例：4-2-3-1、4-3-2-1、3-4-2-1など）
後半,58,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
後半,59,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
後半,60,👋 初めてご覧の方、気軽にコメントしてくださいね！
後半,61,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
後半,62,❓ 質問はコメント欄でどうぞ。
後半,63,🔁 そろそろ交代カードが切られる時間帯。あなたの「ジョーカー（期待の交代選手）」は誰ですか？
後半,64,👏 今の気持ちをチャットで共有しましょう！
後半,65,👍 配信が楽しければ「高評価」をお願いします！
後半,66,👋 初めてご覧の方、気軽にコメントしてくださいね！
後半,67,💧 まもなくハイドレーションブレイク(飲水と作戦共有)！監督の指示が入るので、試合が動くかも！？
後半,68,👏 今の気持ちをチャットで共有しましょう！
後半,69,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
後半,70,🏅 ここまでのMVPは誰？後半の勝負所を前に皆さんの意見を募集中！
後半,71,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
後半,72,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
後半,73,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
後半,74,【原理原則】フィールドを縦に5分割して見るのがオススメ
後半,75,🔁 後半30分経過！ここからが「本当の勝負」。監督の腕の見せどころ！
後半,76,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
後半,77,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
後半,78,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
後半,79,【原理原則】フィールドを縦に5分割して見るのがオススメ
後半,80,🔥 ゴールデンタイム突入！ 試合終了間際は最もゴールが生まれる時間帯です！
後半,81,👋 初めてご覧の方、気軽にコメントしてくださいね！
後半,82,👍 配信が楽しければ「高評価」をお願いします！
後半,83,👏 今の気持ちをチャットで共有しましょう！
後半,84,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
後半,85,⚽ ドラマが待っている！ 劇的ゴールを信じて応援を加速させましょう！
後半,86,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
後半,87,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
後半,88,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
後半,89,⚡ 魔の時間帯（89分）！ 統計上、後半のラスト1分は最もゴールが生まれやすい時間帯。今まさにその瞬間！
後半,90,⏱ アディショナルタイム突入！勝負の行方は最後の最後まで分かりません！
break,0,🕐 同時視聴の時計はキックオフの1分後で合わせます。時間を合わせて解説をお楽しみください。
break,0,👋 初めてご覧の方、気軽にコメントしてくださいね！
break,0,👍 配信が楽しければ「高評価」をお願いします！
break,0,👏 今の気持ちをチャットで共有しましょう！
break,0,🕐 試合開始までお待ちください
break,0,❓ 質問はコメント欄でどうぞ。
break,0,⚠️ まもなく試合が始まります！飲み物と心の準備はできていますか？
break,0,🔔 まだチャンネル登録がお済みでない方はぜひ登録をお願いします！
break,0,⚠️ おすすめの視聴方法： 本編の音声はオフにして、音声は当チャンネル側だけに設定してお楽しみください！
break,0,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（3列表記の例：4-3-3、4-4-2など）
break,0,【用語解説】フォーメーション:10人のフィールドプレイヤーを、後方、守備的な中盤、攻撃的な中盤、前線に向かって、それぞれのエリアに何人配置されているかを数字で表します（4列表記の例：4-2-3-1、4-3-2-1、3-4-2-1など）
break,0,【用語解説】ミラーゲーム:後方、中盤、前線の全てのゾーンでマンツーマン（1人に対して1人がつくようになること。）攻撃的なゲームになりやすい。
break,0,【用語解説】相四つ(あいよつ):最後尾でディフェンス(後ろ)の人数がオフェンスの人数より1人多いこと。サッカーのよくある基本型。
break,0,【用語解説】喧嘩四つ(けんかよつ):攻守にわたり、後方、前線の人数を変える(可変する)こと。チームがどこで優位性を発揮するのか。監督の手腕やチームの特徴を出しやすい。
break,0,【原理原則】4つの優位性、数的優位、位置的優位、個の優位、連携の優位
break,0,【原理原則】6つのサポート、緊急、継続、前進、レイオフ、ピン止め、追い越す
break,0,【原理原則】フィールドを横に3分割(35m×3)見るのがオススメ
break,0,【原理原則】フィールドを縦に5分割して見るのがオススメ
